Date,Open,High,Low,Close,Volume,Adj Close
4/1/1996,15.75,16.56,15.5,16.44,209200,13.53
5/1/1996,16.25,16.44,15.5,15.69,71500,12.91
6/3/1996,15.56,16.19,15.25,15.88,83500,13.07
7/1/1996,15.75,15.81,14.5,15.13,56400,12.45
8/1/1996,15.13,15.19,14.31,14.31,66900,11.77
9/3/1996,14.13,15,14,14.81,35500,12.18
10/1/1996,14.69,14.81,13.75,13.81,43500,11.36
11/1/1996,13.81,14.5,13.81,14.13,96600,11.63
12/2/1996,13.94,14.25,12.88,13.06,66700,10.75
1/2/1997,13.06,13.25,11.31,11.75,80200,9.67
2/3/1997,11.69,12.31,11.13,12,246800,9.87
3/3/1997,11.94,11.94,11.25,11.5,64500,9.46
4/1/1997,11.63,12.19,11.06,12.19,98100,10.03
5/1/1997,12.19,14.13,12.13,13.38,120900,11.01
6/2/1997,13.56,14.56,13.5,14.13,138000,11.63
7/1/1997,14.13,14.31,13.81,13.94,86500,11.47
8/1/1997,13.56,13.88,12.44,12.56,65000,10.33
9/2/1997,12.31,12.94,12.06,12.44,104900,10.23
10/1/1997,12.5,12.56,10.25,11.25,99900,9.26
11/3/1997,11.44,11.5,9.69,10.5,138200,8.64
12/1/1997,10.75,10.81,9.56,9.88,100500,8.13
1/2/1998,9.94,11.5,9.31,11.06,334400,9.1
2/2/1998,11.06,11.75,10.25,11.19,222900,9.21
3/2/1998,11.38,11.38,9.88,9.94,161900,8.18
4/1/1998,9.88,10.63,9.56,10.31,158800,8.49
5/1/1998,10.25,10.31,9.63,9.69,138900,7.97
6/1/1998,9.44,9.94,8.44,9.81,322100,8.07
7/1/1998,10.25,10.44,9.25,9.44,449400,7.77
8/3/1998,9.31,9.44,7.81,7.88,296300,6.49
9/1/1998,8.5,9.31,7.94,8,335300,6.59
10/1/1998,7.88,10.25,7.63,9.69,361500,7.99
11/2/1998,10.19,10.69,9.5,10,752900,8.24
12/1/1998,10.06,10.56,9.81,10.25,255900,8.45
1/4/1999,10.31,10.69,9.69,10.5,299600,8.66
2/1/1999,10.56,10.63,9.75,10.13,210700,8.36
3/1/1999,10,11.94,9.69,11.5,637400,9.49
4/1/1999,11.94,12.5,11.75,12,662000,9.9
5/3/1999,12.06,12.5,11,11.31,409700,9.33
6/1/1999,11.56,12.63,11.38,12.5,513000,10.31
7/1/1999,12.63,13.56,12.56,13.44,610100,11.09
8/2/1999,13.44,14.25,12.63,13.38,621700,11.08
9/1/1999,13.81,14.44,13.44,13.94,692900,11.54
10/1/1999,14.19,14.88,13.69,14.81,586700,12.26
11/1/1999,14.75,15.75,14.56,15.25,483300,12.62
12/1/1999,15.38,16.31,14.88,16.31,494400,13.6
