Date,Open,High,Low,Close,Volume,Adj Close
4/1/1996,65,65.81,62.13,65.39,723000,48.49
5/1/1996,65.37,68.44,63.08,66.87,835300,49.59
6/3/1996,66.89,68.5,66.16,67.11,896600,50.01
7/1/1996,67.28,67.7,60.38,64.09,1344400,47.76
8/1/1996,64.16,67.34,64.06,65.33,777000,48.69
9/3/1996,64.47,69.25,64.37,68.62,889700,51.14
10/1/1996,68.7,71.62,68.44,70.84,674700,52.79
11/1/1996,70.98,76.69,70.27,76.02,1258100,56.65
12/2/1996,75.92,76.58,71.87,73.84,1730000,55.27
1/2/1997,74.37,79.69,72.75,78.41,2128700,58.69
2/3/1997,78.72,82,77.12,79.16,1736300,59.25
3/3/1997,78.75,81.8,75.25,75.37,2089200,56.66
4/1/1997,75.25,80.69,73.31,80.09,2775000,60.21
5/1/1997,80.22,85.56,79.31,85.16,1886500,64.02
6/2/1997,85.34,90.5,84.08,88.31,2367400,66.64
7/1/1997,88.5,96.03,88.39,95.31,3068100,71.92
8/1/1997,95.5,96.62,89.34,90.37,4842800,68.19
9/2/1997,90.69,96.37,90.25,94.37,3941800,71.47
10/1/1997,95.25,98.5,84.37,92.06,6283100,69.72
11/3/1997,93.19,96.81,90.09,95.62,4985300,72.42
12/1/1997,96.22,99,92.37,97.06,3796400,73.77
1/2/1998,97.31,99.56,90.91,98.31,5411500,74.72
2/2/1998,99.91,105.53,99.72,105.12,3851400,79.9
3/2/1998,105.25,111.53,103.16,109.94,4238300,83.83
4/1/1998,110.31,113.44,107.62,111.34,6062500,84.9
5/1/1998,111.75,113.31,107.58,109.03,6051800,83.14
6/1/1998,108.97,114.69,107.5,113.31,6649000,86.67
7/1/1998,114.06,119.23,111.31,111.78,7407300,85.5
8/3/1998,111.78,112.42,95,96,13862100,73.43
9/1/1998,96.06,107,93.62,101.75,13203700,78.1
10/1/1998,100.03,110.91,92.22,110,11773800,84.43
11/2/1998,110.81,119.72,110.19,116.12,7253700,89.13
12/1/1998,116.12,124.75,113.75,123.31,7400700,94.92
1/4/1999,123.37,128.5,120.37,127.66,7782900,98.27
2/1/1999,128.69,128.84,121.33,123.56,9170800,95.12
3/1/1999,123.66,132.63,121.78,128.38,6765400,99.09
4/1/1999,129.69,137.5,128.13,133.25,7987900,102.85
5/3/1999,133.44,138,128,130.2,9565700,100.5
6/1/1999,130.13,137.5,128.02,137,8070300,106.03
7/1/1999,137,142.25,132.56,132.75,5793400,102.74
8/2/1999,132.75,138.78,127,132.06,7017200,102.2
9/1/1999,132.94,136.63,125.56,128.75,8355700,99.91
10/1/1999,127.94,137.69,123.44,137,9896000,106.31
11/1/1999,136.5,143,134.59,139.28,6320200,108.08
12/1/1999,139.31,147.56,139,146.88,5668200,114.26
1/3/2000,148.25,148.25,135,139.56,8376900,108.56
2/1/2000,139.75,144.56,132.72,137.44,9759000,106.92
3/1/2000,137.63,155.75,135.03,150.38,11167100,117.28
4/3/2000,150.13,153.11,133.5,145.09,12525700,113.15
5/1/2000,146.56,148.48,136.5,142.81,7594500,111.38
6/1/2000,143.69,149.16,143,145.28,6116600,113.57
7/3/2000,145.44,151.98,141.52,143,5602200,111.79
8/1/2000,143.63,153.09,142.63,152.34,4662100,119.09
9/1/2000,153.25,153.59,142.13,143.63,6126800,112.56
10/2/2000,144.28,145.75,130.16,142.95,8461100,112.03
11/1/2000,142.25,144.3,129.75,132.28,7995300,103.67
12/1/2000,133.19,139.56,125.53,131.19,8709500,103.09
1/2/2001,132,138.7,127.56,137.02,9095300,107.67
2/1/2001,137.1,137.99,121.8,123.95,10180600,97.4
3/1/2001,124.05,127.75,108.04,116.69,14880400,91.94
4/2/2001,116.3,127.27,109.3,126.66,13130300,99.8
5/1/2001,125.07,132.09,123.44,125.95,9905100,99.24
6/1/2001,126.2,129.23,120.4,122.6,10162000,96.87
7/2/2001,122.8,124.32,116.75,121.35,9943300,95.88
8/1/2001,121.97,123.25,112.04,114.15,12416700,90.2
9/4/2001,113.85,116.17,93.8,104.44,29389500,82.83
10/1/2001,103.9,111.79,102.83,105.8,23510200,83.91
11/1/2001,106.6,116.9,105.7,114.05,18390200,90.46
12/3/2001,113.65,118,112,114.3,16151100,90.97
1/2/2002,115.11,117.99,108.4,113.18,17585200,90.07
2/1/2002,113.09,113.3,107.82,111.15,23592000,88.46
3/1/2002,111.72,117.9,111.51,114.52,20155500,91.4
4/1/2002,114.23,115.1,106.63,107.86,19269700,86.09
5/1/2002,107.97,111.25,104.9,107.22,21475100,85.58
6/3/2002,107.09,107.6,95.19,98.96,28153300,79.26
7/1/2002,99.18,99.8,77.68,91.16,53132600,73.01
8/1/2002,90.88,97.15,83.55,91.78,43934400,73.51
9/3/2002,90.73,93.33,80.9,81.79,54346200,65.8
10/1/2002,82.43,91.29,77.07,88.52,60255100,71.22
11/1/2002,88.35,94.95,87.45,93.98,41881400,75.61
12/2/2002,95.47,96.05,87.11,88.23,36301000,71.33
1/2/2003,88.85,93.86,84.15,86.06,46030300,69.58
2/3/2003,86.14,86.81,81,84.9,47679700,68.64
3/3/2003,85.26,89.88,79.38,84.74,57999500,68.79
4/1/2003,85.25,92.8,84.91,91.91,49753400,74.61
5/1/2003,91.92,97.09,90.5,96.95,44478000,78.7
6/2/2003,97.53,102.18,96.67,97.63,42919900,79.53
7/1/2003,97.25,101.9,96.43,99.39,43190800,80.97
8/1/2003,99.19,101.82,96.34,101.44,38162300,82.64
9/2/2003,101.64,104.7,99.25,99.95,42346500,81.74
10/1/2003,100.24,105.97,100.2,105.3,37280900,86.11
11/3/2003,105.75,106.95,103.62,106.45,33745300,87.05
12/1/2003,106.85,111.52,105.96,111.28,32266000,91.43
1/2/2004,111.74,116.5,110.73,113.48,38432900,93.24
2/2/2004,113.7,116.6,112.78,115.02,37699400,94.51
3/1/2004,115.43,116.97,108.85,113.1,51022600,93.25
4/1/2004,113.07,115.41,110.9,110.96,48442900,91.49
5/3/2004,111.37,113.26,108.06,112.86,50222500,93.06
6/1/2004,112.46,114.94,111.87,114.53,36862400,94.78
7/1/2004,114.25,114.4,108.21,110.84,47438100,91.72
8/2/2004,110.19,111.63,106.59,111.11,43955300,91.95
9/1/2004,110.95,113.74,110.41,111.76,39734600,92.87
10/1/2004,112.26,114.68,109.35,113.2,52042400,94.07
11/1/2004,113.56,119.14,113.2,117.89,48346900,98.25
12/1/2004,118.16,121.66,117.73,120.87,42628100,101.21
1/3/2005,121.56,121.76,116.37,118.16,61837200,98.95
2/1/2005,118.25,121.67,118.1,120.63,57631000,101.01
3/1/2005,120.82,123.25,116.25,117.96,63414700,99.17
4/1/2005,118.63,119.26,113.55,115.75,82729100,97.31
5/2/2005,116.07,120.25,114.8,119.48,65620200,100.44
6/1/2005,119.52,121.94,118.75,119.18,52345900,100.6
7/1/2005,119.45,124.64,118.26,123.74,61933200,104.44
8/1/2005,123.83,124.74,120.38,122.58,61283000,103.47
9/1/2005,122.52,124.74,120.44,123.04,63563200,104.3
10/3/2005,122.96,123.34,116.88,120.13,88679300,101.83
11/1/2005,120.58,127.41,120.13,125.41,59035200,106.3
12/1/2005,126.02,128.09,124.36,124.51,53228200,106.1
1/3/2006,125.19,129.44,124.39,127.5,65342300,108.65
2/1/2006,127.82,130.04,125.4,128.23,64191500,109.27
3/1/2006,128.6,131.47,127.18,129.83,61465300,111.07
4/3/2006,130.07,131.86,128.02,131.47,71378000,112.48
5/1/2006,131.47,132.8,124.76,127.51,83621500,109.09
6/1/2006,127.38,129.43,122.34,127.28,100820700,109.37
7/3/2006,127.43,128.14,122.39,127.85,87044700,109.86
8/1/2006,127.34,131.04,126.28,130.64,63385000,112.26
9/1/2006,131.14,133.99,129.35,133.58,70582700,115.29
10/2/2006,133.54,139,132.65,137.79,68846200,118.93
11/1/2006,138.22,141.16,135.62,140.53,75526300,121.29
12/1/2006,140.53,143.24,138.97,141.62,62910900,122.91
1/3/2007,142.25,144.13,140.25,143.75,71109900,124.76
2/1/2007,144.15,146.42,139,140.93,88004400,122.31
3/1/2007,139.34,143.81,136.75,142,138477200,123.73
4/2/2007,142.16,149.8,141.48,148.29,94608200,129.21
5/1/2007,148.42,153.89,147.67,153.32,119229300,133.6
