Date,Open,High,Low,Close,Volume,Adj Close
4/1/1996,12.56,12.75,11.94,12.19,16200,9.18
5/1/1996,12.19,12.19,11.63,11.81,8800,8.89
6/3/1996,11.81,12.38,11.56,12.38,4800,9.32
7/1/1996,12.38,12.38,11.56,12.06,14600,9.08
8/1/1996,12,12.56,12,12.19,7300,9.2
9/3/1996,12.06,12.25,11.69,11.94,5400,9.01
10/1/1996,12,12.25,11.81,11.81,4500,8.91
11/1/1996,11.81,12.44,11.81,12.19,1300,9.2
12/2/1996,12.13,12.13,11.75,12,9300,9.05
1/2/1997,12,12.44,11.5,12.38,11900,9.34
2/3/1997,12.44,12.63,12.13,12.31,11800,9.29
3/3/1997,12.31,12.94,12.25,12.5,7200,9.43
4/1/1997,12.69,13.5,12.31,13.31,18300,10.04
5/1/1997,13.44,14.88,13.38,14.44,5200,10.89
6/2/1997,14.44,15.94,14.31,15.5,7200,11.69
7/1/1997,15.63,16.69,15.19,15.88,4800,11.98
8/1/1997,15.75,15.75,13.75,13.94,4100,10.52
9/2/1997,14.19,15.25,13.75,15,32100,11.32
10/1/1997,15.19,15.69,13.06,14.63,8700,11.04
11/3/1997,14.63,15.06,14.19,14.88,15600,11.23
12/1/1997,15,15.69,14.88,15.44,8900,11.67
1/2/1998,15.38,16.06,14.56,16,11100,12.09
2/2/1998,16.44,17.69,16.06,17.44,7100,13.18
3/2/1998,17.94,18.37,16.87,18.31,13400,13.84
4/1/1998,18.12,18.75,17.12,18.25,16900,13.79
5/1/1998,18.37,19.69,18.37,19.37,13900,14.64
6/1/1998,19,19.62,17.81,18.87,8600,14.26
7/1/1998,19.37,20.69,19.12,19.81,9900,14.97
8/3/1998,19.81,20.12,15,15,23500,12.21
9/1/1998,15.38,16.87,13.63,13.75,29000,11.19
10/1/1998,13.38,16.19,12.56,16.19,20500,13.17
11/2/1998,16.5,17.31,15.56,16.94,26400,13.78
12/1/1998,16.5,17.62,16.19,17,23900,14.3
1/4/1999,17.44,18.44,16.62,16.81,18900,14.14
2/1/1999,16.87,17.19,15.81,16.25,8400,13.67
3/1/1999,15.88,16.81,15.63,15.81,12800,13.3
4/1/1999,15.94,16.56,15.56,16.25,27400,13.67
5/3/1999,16.19,16.62,15.13,15.44,13300,12.99
6/1/1999,15.38,16.12,15.25,15.81,23500,13.3
7/1/1999,15.75,15.94,15.31,15.75,17500,13.25
8/2/1999,15.56,16.19,15.25,15.31,29800,13.2
9/1/1999,15.75,16,15.13,15.69,7200,13.53
10/1/1999,15.69,16.12,14.81,15.81,25300,13.63
11/1/1999,15.56,16.12,15.31,15.75,24700,13.58
12/1/1999,15.75,16.25,15.44,16,28200,13.8
1/3/2000,16.31,16.81,14.25,14.25,28200,12.29
2/1/2000,14.31,15.56,14.13,14.44,28000,12.45
3/1/2000,14.5,15.75,13.88,15.5,45500,13.36
4/3/2000,15.63,15.88,14.56,14.88,16200,12.83
5/1/2000,14.75,15.88,14.56,15.75,27400,13.58
6/1/2000,15.69,16.5,15.31,15.94,16700,13.74
7/3/2000,15.81,16.56,15.81,16,15300,13.8
8/1/2000,16.06,16.44,15.5,15.81,23100,13.77
9/1/2000,15.63,16,14.44,15,13600,13.06
10/2/2000,15.06,15.56,14.19,15.31,26200,13.33
11/1/2000,14.94,15.63,14.75,15.19,21500,13.23
12/1/2000,15.31,16.87,15.31,16.81,41500,14.79
1/2/2001,16.75,17.75,16.06,16.4,19500,14.43
2/1/2001,16.65,16.69,15.1,15.65,19500,13.77
3/1/2001,15.35,15.65,12.81,14.05,14800,12.36
4/2/2001,14.05,14.64,13.15,14.2,9800,12.49
5/1/2001,14.33,14.8,13.9,14,20600,12.32
6/1/2001,13.8,14.35,13.15,13.45,24900,11.83
7/2/2001,13.5,13.6,12.7,13.1,13900,11.52
8/1/2001,13.45,13.67,12.82,13.05,7300,11.56
9/4/2001,12.65,12.67,10.55,12.05,14300,10.68
10/1/2001,12.05,12.45,11.66,12.24,13700,10.85
11/1/2001,12.25,13.11,12.15,12.45,23900,11.03
12/3/2001,12.49,12.9,12.15,12.54,24400,11.12
1/2/2002,12.8,12.82,11.87,11.92,18700,10.57
2/1/2002,11.92,12.3,11.71,12.24,7700,10.85
3/1/2002,12.3,13.29,12.2,13.12,16500,11.63
4/1/2002,13.22,13.66,13.01,13.43,13300,11.9
5/1/2002,13.68,14.24,13.51,14.04,18100,12.45
6/3/2002,14.03,14.04,12.41,13.55,18800,12.01
