"X","lab","w"
1,"CME",0.16257096
2,"AAPL",0.12528886
3,"MON",0.08548628
4,"MCD",0.05576562
5,"TSO",0.05419032
6,"GME",0.05293008
8,"LH",0.0504096
9,"BCR",0.04946442
10,"AMT",0.04862426
11,"BLK",0.047259
12,"ISRG",0.0409578
13,"HUM",0.03392146
14,"EIX",0.03056082
15,"PCP",0.02825038
16,"SWN",0.02488974
17,"ESRX",0.0236295
18,"WMB",0.01743332
19,"RRC",0.0147028
20,"DVA",0.01249738
21,"RAI",0.01039698
22,"WYNN",0.00934678
23,"CVH",0.00745642
24,"CERN",0.00388574
25,"PCLN",0.00388574
26,"AET",0.0036757
